user,history,software_developer_in_title_count
545838,"[Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Software developer,Software Developer,Software developer]",11
578432,"[Senior Software Developer,Project Manager,Team Leader,Team Leader,Group Leader,Senior Software Developer,Software Developer,Software developer,Software developer (Internship),Software developer]",6
797924,"[Software Engineer 3,Software Developer IV, Engineer/Scientist 3,Software Developer IV, Engineer/Scientist 3,Software Developer,Software Developer,Software Developer,Software Developer]",6
1233902,"[Software Delevoper,Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Tester/Developer]",5
1084444,"[Sr. Software Development Engineer,Software Developer,Software Developer,Software Developer,Software Developer,Software Developer,Software Engineer]",5
1102332,"[Software Developer,Senior Software Developer,Software Developer,Intern (Software Developer),Graduate Research Assistant (Software Developer)]",5
872781,"[software developer - unix script - data processing - financial software,c developer - database programmer,d developer - financial software developer,software developer,Software Developer - Client/Server,Mobile Phone Programmer - Web Developer,software developer - C programmer - database programmer,Clerical]",5
222110,"[Senior Software Developer,Senior Software Developer,NOC,Software Developer,Software Developer,Software Developer]",5
152764,"[Senior Software Developer,Senior Software Developer,Software Senior Developer,Tech Lead,Software Senior Developer]",4
138880,"[Senior/Lead Software Developer Contractor,Senior Software Developer,Senior Software Developer,Software Developer,Independent Consulting, Contracts & Projects,Programming Intern,Computer Lab Assistant]",4