offering,start_date,end_date,registration_date,count
118907,"""2019-04-05""","""2019-04-05""","""2019-02-15""",1
118907,"""2019-04-05""","""2019-04-05""","""2019-03-01""",1
118907,"""2019-04-05""","""2019-04-05""","""2019-03-22""",22
118907,"""2019-04-05""","""2019-04-05""","""2019-04-11""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-02-28""",5
119141,"""2019-04-05""","""2019-04-05""","""2019-03-05""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-03-06""",2
119141,"""2019-04-05""","""2019-04-05""","""2019-03-07""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-03-20""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-03-26""",4
119141,"""2019-04-05""","""2019-04-05""","""2019-04-03""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-04-04""",1
119141,"""2019-04-05""","""2019-04-05""","""2019-04-08""",1